symbol,name,fetch_timestamp,price,open,high,low,prev_close,price_change,price_change_pct,volume,quote_volume,trades_count,weighted_avg,price_range,volatility_pct,trade_intensity,vwap_deviation,volatility_label,market_signal
BTCUSDT,Bitcoin,2026-03-15T16:08:59.343226,71712.07,70657.48,71940.49,70500.0,70657.47,1054.59,1.493,11215.385,798570330.47,1703681,71203.11319,1440.49,2.0387,468.7323,0.7148,Medium,Buy
ETHUSDT,Ethereum,2026-03-15T16:08:59.343226,2117.83,2069.62,2123.44,2069.19,2069.62,48.21,2.329,130210.4978,272611501.62,1455973,2093.62153,54.25,2.6213,187.2366,1.1563,Medium,Strong Buy
BNBUSDT,Binance Coin,2026-03-15T16:08:59.343226,662.69,652.07,666.55,651.85,652.07,10.62,1.629,52130.659,34276941.15,455957,657.519813,14.7,2.2544,75.1758,0.7863,Medium,Buy
SOLUSDT,Solana,2026-03-15T16:08:59.343226,88.36,86.79,88.88,86.62,86.79,1.57,1.809,1378499.94,120925375.45,451869,87.722438,2.26,2.604,267.6116,0.7268,Medium,Buy
XRPUSDT,XRP,2026-03-15T16:08:59.343226,1.4159,1.3918,1.4211,1.3871,1.3918,0.0241,1.732,54135884.4,75992145.98,293805,1.40373,0.034,2.4429,258.6482,0.867,Medium,Buy
DOGEUSDT,Dogecoin,2026-03-15T16:08:59.343226,0.09614,0.09479,0.09746,0.09436,0.0948,0.00135,1.424,622241459.0,59568545.87,402858,0.095732,0.0031,3.2704,147.8649,0.4262,High,Buy
ADAUSDT,Cardano,2026-03-15T16:08:59.343226,0.2656,0.2603,0.2673,0.2585,0.2603,0.0053,2.036,78598376.8,20624957.55,82363,0.262409,0.0088,3.3807,250.4153,1.216,High,Strong Buy
AVAXUSDT,Avalanche,2026-03-15T16:08:59.343226,9.81,9.56,9.87,9.54,9.56,0.25,2.615,926383.61,8968248.31,32333,9.680923,0.33,3.4519,277.3714,1.3333,High,Strong Buy
SHIBUSDT,Shiba Inu,2026-03-15T16:08:59.343226,6e-06,6e-06,6e-06,6e-06,6e-06,-0.0,-0.679,470266883548.0,2760812.26,73908,6e-06,0.0,,37.3547,0.0,Unknown,Sell
DOTUSDT,Polkadot,2026-03-15T16:08:59.343226,1.429,1.439,1.444,1.392,1.439,-0.01,-0.695,5456237.62,7739911.36,33795,1.418544,0.052,3.6136,229.0253,0.7371,High,Sell
BTCUSDT,Bitcoin,2026-03-15T16:10:04.949859,71702.01,70677.81,71940.49,70500.0,70677.8,1024.2,1.449,11216.7617,798672991.14,1704197,71203.526758,1440.49,2.0381,468.6506,0.7001,Medium,Buy
ETHUSDT,Ethereum,2026-03-15T16:10:04.949859,2117.43,2070.33,2123.44,2069.19,2070.33,47.1,2.275,130162.2922,272513489.67,1456629,2093.643905,54.25,2.6204,187.085,1.1361,Medium,Strong Buy
BNBUSDT,Binance Coin,2026-03-15T16:10:04.949859,662.28,652.19,666.55,651.85,652.19,10.09,1.547,52184.455,34312682.56,456257,657.526893,14.7,2.2539,75.2047,0.7229,Medium,Buy
SOLUSDT,Solana,2026-03-15T16:10:04.949859,88.33,86.81,88.88,86.62,86.82,1.52,1.751,1379358.453,121001820.65,452181,87.72326,2.26,2.6034,267.596,0.6917,Medium,Buy
XRPUSDT,XRP,2026-03-15T16:10:04.949859,1.415,1.3917,1.4211,1.3871,1.3917,0.0233,1.674,54155904.4,76020695.39,293953,1.403738,0.034,2.4431,258.6151,0.8023,Medium,Buy
DOGEUSDT,Dogecoin,2026-03-15T16:10:04.949859,0.09609,0.0948,0.09746,0.09436,0.0948,0.00129,1.361,622269561.0,59572088.26,403003,0.095734,0.0031,3.27,147.8205,0.3719,High,Buy
ADAUSDT,Cardano,2026-03-15T16:10:04.949859,0.2655,0.2603,0.2673,0.2585,0.2603,0.0052,1.998,78581266.3,20620546.47,82350,0.26241,0.0088,3.3807,250.4013,1.1775,High,Buy
